,Postal Code,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,M3A,North York,Parkwoods,43.7532586,-79.3296565,2.0,Park,Food & Drink Shop,Women's Store,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Doner Restaurant
1,M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998,1.0,Pizza Place,Coffee Shop,Hockey Arena,Portuguese Restaurant,Intersection,Dumpling Restaurant,Eastern European Restaurant,Drugstore,Donut Shop,Electronics Store
2,M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,1.0,Coffee Shop,Bakery,Pub,Park,Breakfast Spot,Restaurant,Café,Theater,French Restaurant,Farmers Market
3,M6A,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,1.0,Clothing Store,Women's Store,Sporting Goods Shop,Boutique,Miscellaneous Shop,Furniture / Home Store,Carpet Store,Event Space,Coffee Shop,Accessories Store
4,M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,1.0,Coffee Shop,Sushi Restaurant,College Cafeteria,Bar,Beer Bar,Smoothie Shop,Sandwich Place,Burrito Place,Café,Portuguese Restaurant
6,M1B,Scarborough,"Malvern, Rouge",43.806686299999996,-79.19435340000001,1.0,Fast Food Restaurant,Print Shop,Women's Store,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Donut Shop
7,M3B,North York,Don Mills,43.745905799999996,-79.352188,1.0,Gym,Beer Store,Japanese Restaurant,Restaurant,Coffee Shop,Athletics & Sports,Asian Restaurant,Caribbean Restaurant,Supermarket,Baseball Field
8,M4B,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,1.0,Pizza Place,Gastropub,Pet Store,Café,Pharmacy,Flea Market,Bank,Intersection,Athletics & Sports,Gym / Fitness Center
9,M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,1.0,Coffee Shop,Clothing Store,Middle Eastern Restaurant,Italian Restaurant,Bubble Tea Shop,Japanese Restaurant,Café,Cosmetics Shop,Hotel,Theater
10,M6B,North York,Glencairn,43.709577,-79.44507259999999,1.0,Pub,Pizza Place,Japanese Restaurant,Asian Restaurant,Bakery,Dog Run,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
11,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.55472440000001,0.0,Filipino Restaurant,Bakery,Women's Store,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Drugstore
12,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.16049709999999,3.0,Bar,Women's Store,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Farmers Market
13,M3C,North York,Don Mills,43.72589970000001,-79.340923,1.0,Gym,Beer Store,Japanese Restaurant,Restaurant,Coffee Shop,Athletics & Sports,Asian Restaurant,Caribbean Restaurant,Supermarket,Baseball Field
14,M4C,East York,Woodbine Heights,43.695343900000005,-79.3183887,1.0,Skating Rink,Athletics & Sports,Beer Store,Park,Curling Ice,Women's Store,Doner Restaurant,Diner,Discount Store,Distribution Center
15,M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179,1.0,Coffee Shop,Café,Cocktail Bar,Gastropub,American Restaurant,Clothing Store,Moroccan Restaurant,Cosmetics Shop,Creperie,Department Store
16,M6C,York,Humewood-Cedarvale,43.6937813,-79.42819140000002,1.0,Playground,Trail,Field,Hockey Arena,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
17,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.57720079999999,1.0,Pharmacy,Coffee Shop,Beer Store,Liquor Store,Shopping Plaza,Café,Pet Store,Pizza Place,Department Store,Dumpling Restaurant
18,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,1.0,Intersection,Bank,Medical Center,Electronics Store,Breakfast Spot,Mexican Restaurant,Restaurant,Rental Car Location,Dessert Shop,Dim Sum Restaurant
19,M4E,East Toronto,The Beaches,43.67635739999999,-79.2930312,1.0,Pub,Trail,Park,Health Food Store,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
20,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,1.0,Coffee Shop,Cocktail Bar,Bakery,Beer Bar,Farmers Market,Seafood Restaurant,Cheese Shop,Restaurant,Clothing Store,Juice Bar
21,M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512,2.0,Park,Women's Store,Pool,Dog Run,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
22,M1G,Scarborough,Woburn,43.7709921,-79.21691740000001,1.0,Coffee Shop,Convenience Store,Korean BBQ Restaurant,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Women's Store
23,M4G,East York,Leaside,43.7090604,-79.3634517,1.0,Sporting Goods Shop,Coffee Shop,Burger Joint,Bank,Furniture / Home Store,Sushi Restaurant,Dessert Shop,Supermarket,Fish & Chips Shop,Restaurant
